,nan_ratio,mean,std,kept
sma_ratio_5,0.0,0.007865265,0.038223192,True
ema_ratio_5,0.0,0.006465828,0.03129817,True
wma_ratio_5,0.0,0.005331159,0.02841282,True
sma_ratio_10,0.0,0.013515696,0.056001436,True
ema_ratio_10,0.0,0.0113084,0.04776492,True
wma_ratio_10,0.0,0.009813734,0.043716047,True
sma_ratio_20,0.0,0.020135524,0.07664924,True
ema_ratio_20,0.0,0.017547822,0.06675232,True
wma_ratio_20,0.0,0.015413569,0.06155038,True
sma_ratio_60,0.01808450247344092,0.038089972,0.12478504,True
ema_ratio_60,0.0,0.03549286,0.10799427,True
wma_ratio_60,0.01808450247344092,0.028008949,0.098793834,True
sma_ratio_120,0.04537344903089774,0.06787751,0.18008974,True
ema_ratio_120,0.0,0.060900375,0.14977765,True
wma_ratio_120,0.04537344903089774,0.04700618,0.13728724,True
sma_cross_5_20,0.0,0.011329578,0.05109792,True
sma_cross_10_60,0.01808450247344092,0.02281411,0.08964155,True
sma_cross_20_120,0.04537344903089774,0.044308484,0.13262813,True
macd_diff_12_26_9,0.0,0.0048654927,0.02752635,True
macd_signal_12_26_9,0.0,0.0037689183,0.02383155,True
macd_hist_12_26_9,0.0,0.0010965747,0.009284274,True
macd_diff_5_35_5,0.0,0.011865484,0.061003078,True
macd_signal_5_35_5,0.0,0.009692875,0.05455836,True
macd_hist_5_35_5,0.0,0.0021726075,0.014880606,True
adx_14,0.0,25.908903,10.674457,True
pdi_14,0.0,27.445272,10.024605,True
mdi_14,0.0,21.235008,9.673513,True
adx_28,0.0,19.398384,9.595796,True
pdi_28,0.0,26.220926,7.071752,True
mdi_28,0.0,21.284807,6.8565335,True
aroon_up_14,0.0,63.250866,38.39651,True
aroon_dn_14,0.0,45.294674,38.000122,True
aroon_osc_14,0.0,17.956196,68.556206,True
aroon_up_25,0.003649339064147271,60.740356,38.468117,True
aroon_dn_25,0.003649339064147271,44.016766,37.113274,True
aroon_osc_25,0.003649339064147271,16.723587,67.32496,True
linreg_slope_5,0.0,0.002791337,0.016474018,True
linreg_slope_10,0.0,0.0016233157,0.009899748,True
linreg_slope_20,0.0,0.00082890905,0.0059235753,True
linreg_slope_60,0.01808450247344092,0.00050640444,0.003074818,True
linreg_slope_120,0.04537344903089774,0.00053053896,0.0021289417,True
trix_15,0.0,0.08438475,0.36593658,True
vortex_pos_14,0.0,0.98002374,0.18258712,True
vortex_neg_14,0.0,0.87601805,0.18699771,True
psar_dist,0.0,0.015836053,0.09551131,True
roc_5,0.0,0.017642979,0.07216288,True
roc_10,0.0,0.025021352,0.09446063,True
roc_20,0.0010137052955964641,0.034334168,0.12471113,True
roc_60,0.018408888168031788,0.08123447,0.23893936,True
roc_120,0.04581947936096018,0.16197477,0.42751512,True
rsi_6,0.0,56.547512,22.69434,True
rsi_14,0.0,54.70493,14.781915,True
rsi_28,0.0,53.60113,10.223039,True
stoch_k_14_3,0.0,56.745068,29.144007,True
stoch_d_14_3,0.0,55.758526,27.629372,True
stoch_k_60_3,0.018652177438974942,58.15995,30.057665,True
stoch_d_60_3,0.019665882734571406,57.560192,29.366253,True
stochrsi_14,0.0,0.5770625,0.39526555,True
willr_14,0.0,-42.13485,33.259396,True
willr_28,0.005190171113453897,-41.765694,32.63465,True
cci_14,0.0,40.682583,142.8096,True
cci_20,0.0,42.98834,147.98497,True
cci_60,0.01808450247344092,44.351612,144.04547,True
cmo_14,0.0,10.674165,37.728687,True
ppo_12_26,0.0,0.66968524,2.7953968,True
tsi_25_13,0.0,6.675859,21.875622,True
