[FEAT] 讀快取 C:\Users\alex\Desktop\專題進度\xgb_ta_pipeline\experiments\features_tw50_2016-01-01_2024-12-31.parquet
[TUNE] tw50-h1: 242 欄, train 85300 val 11900
  {'max_depth': 5, 'learning_rate': 0.1, 'min_child_weight': 100, 'colsample_bytree': 0.3, 'subsample': 0.8, 'reg_lambda': 10.0} → val AUC 0.5432 acc 0.5252 iters 11 (182s)
  {'max_depth': 5, 'learning_rate': 0.1, 'min_child_weight': 100, 'colsample_bytree': 0.8, 'subsample': 0.8, 'reg_lambda': 1.0} → val AUC 0.5368 acc 0.5234 iters 11 (188s)
  {'max_depth': 5, 'learning_rate': 0.1, 'min_child_weight': 100, 'colsample_bytree': 0.8, 'subsample': 0.8, 'reg_lambda': 10.0} → val AUC 0.5358 acc 0.5203 iters 9 (194s)
  {'max_depth': 8, 'learning_rate': 0.03, 'min_child_weight': 10, 'colsample_bytree': 0.3, 'subsample': 0.8, 'reg_lambda': 1.0} → val AUC 0.5345 acc 0.5229 iters 48 (204s)
  {'max_depth': 8, 'learning_rate': 0.03, 'min_child_weight': 10, 'colsample_bytree': 0.3, 'subsample': 0.8, 'reg_lambda': 10.0} → val AUC 0.5364 acc 0.5231 iters 56 (213s)
  {'max_depth': 8, 'learning_rate': 0.03, 'min_child_weight': 10, 'colsample_bytree': 0.8, 'subsample': 0.8, 'reg_lambda': 1.0} → val AUC 0.5354 acc 0.5206 iters 45 (223s)
  {'max_depth': 8, 'learning_rate': 0.03, 'min_child_weight': 10, 'colsample_bytree': 0.8, 'subsample': 0.8, 'reg_lambda': 10.0} → val AUC 0.5345 acc 0.5222 iters 26 (232s)
  {'max_depth': 8, 'learning_rate': 0.03, 'min_child_weight': 100, 'colsample_bytree': 0.3, 'subsample': 0.8, 'reg_lambda': 1.0} → val AUC 0.5385 acc 0.5232 iters 53 (240s)
  {'max_depth': 8, 'learning_rate': 0.03, 'min_child_weight': 100, 'colsample_bytree': 0.3, 'subsample': 0.8, 'reg_lambda': 10.0} → val AUC 0.5369 acc 0.5234 iters 55 (248s)
  {'max_depth': 8, 'learning_rate': 0.03, 'min_child_weight': 100, 'colsample_bytree': 0.8, 'subsample': 0.8, 'reg_lambda': 1.0} → val AUC 0.5329 acc 0.5219 iters 23 (256s)
  {'max_depth': 8, 'learning_rate': 0.03, 'min_child_weight': 100, 'colsample_bytree': 0.8, 'subsample': 0.8, 'reg_lambda': 10.0} → val AUC 0.5321 acc 0.5199 iters 23 (263s)
  {'max_depth': 8, 'learning_rate': 0.1, 'min_child_weight': 10, 'colsample_bytree': 0.3, 'subsample': 0.8, 'reg_lambda': 1.0} → val AUC 0.5419 acc 0.5265 iters 11 (269s)
  {'max_depth': 8, 'learning_rate': 0.1, 'min_child_weight': 10, 'colsample_bytree': 0.3, 'subsample': 0.8, 'reg_lambda': 10.0} → val AUC 0.5416 acc 0.5257 iters 11 (276s)
  {'max_depth': 8, 'learning_rate': 0.1, 'min_child_weight': 10, 'colsample_bytree': 0.8, 'subsample': 0.8, 'reg_lambda': 1.0} → val AUC 0.5341 acc 0.5223 iters 7 (283s)
  {'max_depth': 8, 'learning_rate': 0.1, 'min_child_weight': 10, 'colsample_bytree': 0.8, 'subsample': 0.8, 'reg_lambda': 10.0} → val AUC 0.5295 acc 0.5221 iters 4 (291s)
  {'max_depth': 8, 'learning_rate': 0.1, 'min_child_weight': 100, 'colsample_bytree': 0.3, 'subsample': 0.8, 'reg_lambda': 1.0} → val AUC 0.5453 acc 0.5296 iters 12 (298s)
  {'max_depth': 8, 'learning_rate': 0.1, 'min_child_weight': 100, 'colsample_bytree': 0.3, 'subsample': 0.8, 'reg_lambda': 10.0} → val AUC 0.5418 acc 0.5269 iters 12 (306s)
  {'max_depth': 8, 'learning_rate': 0.1, 'min_child_weight': 100, 'colsample_bytree': 0.8, 'subsample': 0.8, 'reg_lambda': 1.0} → val AUC 0.5341 acc 0.5213 iters 4 (314s)
  {'max_depth': 8, 'learning_rate': 0.1, 'min_child_weight': 100, 'colsample_bytree': 0.8, 'subsample': 0.8, 'reg_lambda': 10.0} → val AUC 0.5330 acc 0.5187 iters 5 (321s)

[BEST] {'max_depth': 8, 'learning_rate': 0.1, 'min_child_weight': 100, 'colsample_bytree': 0.3, 'subsample': 0.8, 'reg_lambda': 1.0}  val AUC 0.5453  (預設約:depth5 lr0.03 mcw50 col0.5 λ5)
[SAVED] C:\Users\alex\Desktop\專題進度\xgb_ta_pipeline\config\xgb_tuned_tw50-h1.json
EXIT 0
