feature,family,perm_mean,perm_pos_folds,n_folds,perm_t,gain_share,perm_2019,perm_2020,perm_2021,perm_2022,perm_2023,perm_2024,perm_2025
linreg_slope_120,trend,0.0032291046278968764,5,7,2.586849414860855,0.02179048961002465,-0.0008663467542632588,-0.00017443371701637497,0.005604264278596093,0.003263998581133835,0.005079576991408161,0.008223002546671661,0.0014736704687480205
cs_excess_roc_5,cross_section,0.003212099556494949,4,7,1.7422552024693356,0.019417696880321824,0.01032673908922102,-0.0016697555175186664,0.008695578154120637,0.005449518810544367,0.0002024197367377648,-7.805485775011962e-05,-0.0004417485198903587
cumret_ex1_120,stats,0.003052342846028099,6,7,2.3174861711007644,0.015228907779194577,-0.002023027068426228,0.001528133608119704,0.0012328396361326692,0.002821908738026409,0.002701216025821943,0.0069268180264420625,0.008178510956080137
ret_z_20,stats,0.0019425049392044196,6,7,2.233172459279164,0.008672374564900606,0.006167066199461852,0.0038228690415493803,0.002003792949775355,0.0004564414250447744,0.00013500963170976098,0.001134763828034076,-0.00012240850114426013
stoch_d_14_3,momentum,0.00186388368915897,6,7,1.6241410623285835,0.009752799649562717,-0.00047669583772135216,0.0011020101471918497,0.0008163192313834384,0.0032594497486589705,0.00012470273438381038,4.316517739701905e-05,0.008178234622819053
up_ratio_60,momentum,0.0017223025439294301,6,7,2.3991773407108403,0.01452732324510689,0.00462663659981306,0.0020860540511346702,0.0005206973807467957,-0.00028201392962925895,0.00039148523840681123,0.0007691988991465828,0.003944059567887352
cs_excess_roc_120,cross_section,0.0014498586723615504,4,7,0.945873973534955,0.014008444527205975,-0.00010053823666328343,-0.0016148942760012754,0.0008161378298516426,-0.0004712997370430958,0.0009235136200822017,0.00015518163495309984,0.010440909871351564
bb_bw_20,volatility,0.0013541848373370695,5,7,1.717988529190774,0.01864567915304875,0.0015176839329400494,-0.0005067182964069453,0.003795167028188324,0.0029931892780162526,0.001719481955838404,-0.002261646735988589,0.002222136698771991
cs_rank_ret_std_20,cross_section,0.0012859931667124293,6,7,3.555842264815771,0.010483350014618162,0.001105905736828976,-0.00044087542368420867,0.0022060804959091996,0.0010950728640393992,0.0020951397679093778,0.0021310792750475083,0.0008095494509367529
range_ratio,candle,0.0012428904757868177,4,7,0.8752334713645419,0.0055948017370378465,0.009632591696714876,-0.0013885175951151446,0.0002869920358262862,0.00047079395433384286,0.0,-0.0006230242103265216,0.0003213974490743852
up_ratio_120,momentum,0.0011811651792227288,5,7,2.1433284903980176,0.009281750451734844,0.0011160978098343523,-6.826444491743928e-05,-0.00026697352254832313,0.0004436744749416477,0.0009102076289916652,0.0022405384897475457,0.003892875818509653
close_pos,candle,0.0010597498445188119,5,7,1.5366981798070238,0.012154860635551636,0.0018034568305297788,0.0007611390683047097,0.0034933307528935676,0.0029567033870850057,0.0002414640739490468,-0.0017287797486877892,-0.00010906545244263506
