,nan_ratio,mean,std,kept
sma_ratio_5,0.0023974608709866367,0.0016475267,0.025581408,True
ema_ratio_5,0.0,0.0013955272,0.020832725,True
wma_ratio_5,0.0023974608709866367,0.0010184925,0.018760301,True
sma_ratio_10,0.005394286959719933,0.003861664,0.03936818,True
ema_ratio_10,0.0,0.0032853084,0.033118337,True
wma_ratio_10,0.005394286959719933,0.0024289126,0.029701732,True
sma_ratio_20,0.011387939137186526,0.0083447015,0.058247305,True
ema_ratio_20,0.0,0.0071084485,0.049370725,True
wma_ratio_20,0.011387939137186526,0.005254193,0.04435838,True
sma_ratio_60,0.035362547847052894,0.025008243,0.10663273,True
ema_ratio_60,0.0,0.022110205,0.089616954,True
wma_ratio_60,0.035362547847052894,0.01581687,0.08043511,True
sma_ratio_120,0.07132446091185245,0.05217361,0.16148706,True
ema_ratio_120,0.0,0.044736844,0.13163197,True
wma_ratio_120,0.07132446091185245,0.033076648,0.11906422,True
sma_cross_5_20,0.011387939137186526,0.0063503827,0.04531971,True
sma_cross_10_60,0.035362547847052894,0.020487424,0.088453494,True
sma_cross_20_120,0.07132446091185245,0.041995138,0.13053878,True
macd_diff_12_26_9,0.0,0.0034650543,0.025852747,True
macd_signal_12_26_9,0.0,0.0034702416,0.024111781,True
macd_hist_12_26_9,0.0,-5.187292e-06,0.007939421,True
macd_diff_5_35_5,0.0,0.0073745563,0.054158777,True
macd_signal_5_35_5,0.0,0.0073909275,0.05213065,True
macd_hist_5_35_5,0.0,-1.6370319e-05,0.011400863,True
adx_14,0.0007355845854163545,26.414042,12.0762415,True
pdi_14,0.0,24.784971,8.32392,True
mdi_14,0.0,21.536127,8.261751,True
adx_28,0.0007355845854163545,20.658049,11.944222,True
pdi_28,0.0,24.582262,6.4415812,True
mdi_28,0.0,21.424088,6.421691,True
aroon_up_14,0.00839111304845323,51.598328,36.47791,True
aroon_dn_14,0.00839111304845323,42.261436,36.06853,True
aroon_osc_14,0.00839111304845323,9.336885,63.469776,True
aroon_up_25,0.01498413044366648,52.72354,35.621788,True
aroon_dn_25,0.01498413044366648,41.22565,35.24858,True
aroon_osc_25,0.01498413044366648,11.497891,62.1169,True
linreg_slope_5,0.0023974608709866367,0.0004905349,0.011928799,True
linreg_slope_10,0.005394286959719933,0.00050988817,0.008190328,True
linreg_slope_20,0.011387939137186526,0.0005305706,0.0057105455,True
linreg_slope_60,0.035362547847052894,0.00048906775,0.0031313524,True
linreg_slope_120,0.07132446091185245,0.00048633688,0.0021887997,True
trix_15,0.0005993652177466592,0.077257395,0.36729696,True
vortex_pos_14,0.00839111304845323,0.9692046,0.16383703,True
vortex_neg_14,0.00839111304845323,0.9177795,0.16801976,True
psar_dist,0.0005993652177466592,0.00095588854,0.07893673,True
roc_5,0.002996826088733296,0.0052199233,0.05274397,True
roc_10,0.005993652177466592,0.0106406,0.075172774,True
roc_20,0.011987304354933184,0.021739274,0.10943337,True
roc_60,0.03596191306479955,0.06462151,0.22077207,True
roc_120,0.0719238261295991,0.13980553,0.39386722,True
rsi_6,0.0008445600795521107,52.404667,18.045809,True
rsi_14,0.0008445600795521107,52.298817,12.283907,True
rsi_28,0.0008445600795521107,52.10808,9.4319725,True
stoch_k_14_3,0.008990478266199888,52.427505,27.570904,True
stoch_d_14_3,0.010189208701693207,52.440403,26.750378,True
stoch_k_60_3,0.03656127828254621,55.468636,28.358438,True
stoch_d_60_3,0.03776000871803953,55.462605,28.141777,True
stochrsi_14,0.00863630791025868,0.50146013,0.35968736,True
willr_14,0.00779174783070657,-47.59416,29.74886,True
willr_28,0.016182860879159797,-46.1619,29.443428,True
cci_14,0.00779174783070657,13.657881,109.65384,True
cci_20,0.011387939137186526,16.21563,112.709984,True
cci_60,0.035362547847052894,24.929443,116.4835,True
cmo_14,0.00839111304845323,5.307618,33.498737,True
ppo_12_26,0.0,0.47399008,2.5955908,True
tsi_25_13,0.0005993652177466592,4.5463767,21.739073,True
uo_7_14_28,0.016305458310062526,48.2123,10.814345,True
ao_5_34,0.019779052185639755,0.0074750674,0.06652087,True
ret_lag_1,0.0005993652177466592,0.0010212568,0.023367176,True
ret_lag_2,0.0011987304354933183,0.0010197976,0.0233726,True
ret_lag_3,0.0017980956532399777,0.0010310068,0.02337122,True
ret_lag_4,0.0023974608709866367,0.001027749,0.023375334,True
ret_lag_5,0.002996826088733296,0.0010304619,0.023380747,True
ret_lag_6,0.0035961913064799554,0.0010341766,0.023384353,True
ret_lag_7,0.004195556524226615,0.0010283394,0.023387171,True
ret_lag_8,0.004794921741973273,0.0010303061,0.023391772,True
ret_lag_9,0.005394286959719933,0.0010480213,0.023381284,True
ret_lag_10,0.005993652177466592,0.0010532859,0.023382628,True
up_ratio_5,0.0023974608709866367,0.47772518,0.21689102,True
up_ratio_10,0.005394286959719933,0.47797987,0.1532,True
up_ratio_20,0.011387939137186526,0.47818118,0.10911455,True
up_ratio_60,0.035362547847052894,0.47724655,0.065323636,True
up_ratio_120,0.07132446091185245,0.4777472,0.04796255,True
mom_accel_5_20,0.011987304354933184,-0.01648979,0.095116615,True
atr_ratio_14,0.0,0.029547252,0.017143091,True
atr_ratio_28,0.0,0.029558273,0.019587087,True
ret_std_5,0.002996826088733296,0.019507147,0.012827564,True
parkinson_5,0.0023974608709866367,0.017244555,0.009254381,True
