,nan_ratio,mean,std,kept
sma_ratio_5,0.0,0.008897768,0.037873458,True
ema_ratio_5,0.0,0.0073951636,0.031054184,True
wma_ratio_5,0.0,0.006069025,0.028105928,True
sma_ratio_10,0.0,0.015303213,0.0557685,True
ema_ratio_10,0.0,0.012952045,0.0474674,True
wma_ratio_10,0.0,0.011144551,0.043473072,True
sma_ratio_20,0.0,0.02306478,0.07606257,True
ema_ratio_20,0.0,0.02021182,0.06635261,True
wma_ratio_20,0.0,0.01758963,0.061144255,True
sma_ratio_60,0.02749861273814662,0.04354096,0.1252047,True
ema_ratio_60,0.0,0.04087218,0.10722294,True
wma_ratio_60,0.02749861273814662,0.032160357,0.09866313,True
sma_ratio_120,0.06899315617485664,0.07831126,0.18111905,True
ema_ratio_120,0.0,0.06951637,0.14873746,True
wma_ratio_120,0.06899315617485664,0.05447018,0.13742307,True
sma_cross_5_20,0.0,0.013202934,0.050570548,True
sma_cross_10_60,0.02749861273814662,0.026472358,0.08967221,True
sma_cross_20_120,0.06899315617485664,0.051538903,0.13346002,True
macd_diff_12_26_9,0.0,0.0060941493,0.027366046,True
macd_signal_12_26_9,0.0,0.0047998102,0.023681432,True
macd_hist_12_26_9,0.0,0.0012943393,0.009269017,True
macd_diff_5_35_5,0.0,0.014648507,0.06063988,True
macd_signal_5_35_5,0.0,0.012173119,0.054077152,True
macd_hist_5_35_5,0.0,0.0024753879,0.014850766,True
adx_14,0.0,26.55332,10.795703,True
pdi_14,0.0,27.80668,10.143674,True
mdi_14,0.0,20.72239,9.767111,True
adx_28,0.0,20.141447,10.018522,True
pdi_28,0.0,26.373837,7.1849766,True
mdi_28,0.0,20.82763,6.878652,True
aroon_up_14,0.0,64.6508,38.247402,True
aroon_dn_14,0.0,43.48119,37.82961,True
aroon_osc_14,0.0,21.169617,68.1196,True
aroon_up_25,0.005549047413527345,61.83719,38.510967,True
aroon_dn_25,0.005549047413527345,42.22258,36.84602,True
aroon_osc_25,0.005549047413527345,19.614607,67.15899,True
linreg_slope_5,0.0,0.0032361064,0.016348707,True
linreg_slope_10,0.0,0.0019158664,0.009903449,True
linreg_slope_20,0.0,0.0010649028,0.00582857,True
linreg_slope_60,0.02749861273814662,0.00061935507,0.003081607,True
linreg_slope_120,0.06899315617485664,0.00067419733,0.0020504377,True
trix_15,0.0,0.099480204,0.36478797,True
vortex_pos_14,0.0,0.9897657,0.18333948,True
vortex_neg_14,0.0,0.86954665,0.18933597,True
psar_dist,0.0,0.018645842,0.09463152,True
roc_5,0.0,0.019859357,0.07193798,True
roc_10,0.0,0.027966557,0.093694955,True
roc_20,0.0015414020593131513,0.039316766,0.12454503,True
roc_60,0.027991861397126828,0.090418845,0.24447301,True
roc_120,0.06967137308095443,0.1848891,0.46448478,True
rsi_6,0.0,57.58083,22.733316,True
rsi_14,0.0,55.41123,14.816835,True
rsi_28,0.0,54.059113,10.245298,True
stoch_k_14_3,0.0,57.971737,28.787718,True
stoch_d_14_3,0.0,56.85694,27.275242,True
stoch_k_60_3,0.028361797891361982,59.458935,29.660284,True
stoch_d_60_3,0.029903199950675134,58.76967,28.978758,True
stochrsi_14,0.0,0.5892802,0.39440694,True
willr_14,0.0,-40.74048,32.90481,True
willr_28,0.007891978543683334,-40.262787,32.30562,True
cci_14,0.0,47.135204,143.3739,True
cci_20,0.0,49.965427,149.0317,True
cci_60,0.02749861273814662,50.353523,143.78572,True
cmo_14,0.0,12.297337,37.80217,True
ppo_12_26,0.0,0.79491675,2.7753124,True
tsi_25_13,0.0,7.6470494,21.875738,True
uo_7_14_28,0.007891978543683334,49.985016,11.720451,True
ao_5_34,0.010851470497564585,0.013222849,0.07010562,True
ret_lag_1,0.0,0.0057476144,0.03449765,True
ret_lag_2,0.0,0.005034377,0.030808039,True
ret_lag_3,0.0,0.003428336,0.026616424,True
ret_lag_4,0.0,0.002666633,0.025260888,True
ret_lag_5,0.0,0.0023414334,0.024023363,True
ret_lag_6,0.0,0.0019737703,0.023189299,True
ret_lag_7,0.0,0.0015203117,0.022762759,True
ret_lag_8,0.0,0.0014847461,0.021879422,True
ret_lag_9,0.0,0.0015422737,0.021962553,True
ret_lag_10,0.0,0.0009986031,0.022032853,True
up_ratio_5,0.0,0.5242,0.24024327,True
up_ratio_10,0.0,0.5048092,0.16806386,True
up_ratio_20,0.0,0.490468,0.11705615,True
up_ratio_60,0.02749861273814662,0.4815835,0.068069,True
up_ratio_120,0.06899315617485664,0.47975993,0.049260136,True
mom_accel_5_20,0.0015414020593131513,-0.019543285,0.09107493,True
atr_ratio_14,0.0,0.02941265,0.0138842175,True
atr_ratio_28,0.0,0.028731912,0.0139678465,True
ret_std_5,0.0,0.023253025,0.014970597,True
parkinson_5,0.0,0.019680845,0.010646852,True
gk_vol_5,0.0,0.019207455,0.01031524,True
ret_std_10,0.0,0.022025054,0.012393423,True
parkinson_10,0.0,0.018442575,0.009368639,True
gk_vol_10,0.0,0.018096237,0.009115659,True
ret_std_20,0.0015414020593131513,0.020944055,0.010664939,True
parkinson_20,0.0,0.017679797,0.008445268,True
gk_vol_20,0.0,0.017417993,0.008295649,True
ret_std_60,0.027991861397126828,0.021401698,0.009420859,True
parkinson_60,0.02749861273814662,0.017930822,0.0078466665,True
gk_vol_60,0.02749861273814662,0.017701402,0.007787547,True
ret_std_120,0.06967137308095443,0.021687208,0.00888281,True
parkinson_120,0.06899315617485664,0.018122684,0.007574441,True
gk_vol_120,0.06899315617485664,0.017889192,0.007541803,True
bb_pctb_20,0.0,0.6403708,0.41805148,True
bb_bw_20,0.0,0.147563,0.10471229,True
bb_pctb_60,0.02749861273814662,0.64975095,0.41761658,True
bb_bw_60,0.02749861273814662,0.24565804,0.17397068,True
keltner_pos_20_10,0.0,0.30998528,0.920422,True
donchian_pos_5,0.0,0.5686838,0.33233666,True
donchian_pos_10,0.0,0.58710074,0.32995498,True
donchian_pos_20,0.0,0.59725165,0.3262864,True
donchian_pos_60,0.02749861273814662,0.6025849,0.31187984,True
donchian_pos_120,0.06899315617485664,0.6226754,0.29000354,True
dist_high_20,0.0,-0.055260785,0.061072685,True
dist_low_20,0.0,0.1051706,0.10397353,True
