group,size,representative,family,rep_mean_corr,rep_ic_t,best_by_t,best_ic_t,n_sig,others
108,20,atr_ratio_14,波動,0.9349105333513241,1.485079512442404,parkinson_20,1.533874896479408,0,atr_ratio_28、parkinson_5、gk_vol_5、parkinson_10、gk_vol_10、ret_std_20、parkinson_20、gk_vol_20、ret_std_60、parkinson_60、gk_vol_60、ret_std_120、parkinson_120、gk_vol_120、range_ratio_ma5、range_ratio_ma20、cs_rank_ret_std_20、cs_rank_ret_std_60、cs_idio_std_60
88,19,ppo_12_26,動能,0.9217166064977531,0.5411610070049812,stoch_d_60_3,3.2911076469479914,7,sma_ratio_60、ema_ratio_60、wma_ratio_60、wma_ratio_120、sma_cross_10_60、macd_diff_12_26_9、macd_signal_12_26_9、macd_diff_5_35_5、macd_signal_5_35_5、trix_15、rsi_28、stoch_k_60_3、stoch_d_60_3、cci_60、tsi_25_13、ao_5_34、bb_pctb_60、donchian_pos_60
73,18,bb_pctb_20,波動,0.9094911326080821,0.4220675249175432,vwap_ratio_20,2.781044291087819,6,sma_ratio_10、ema_ratio_10、sma_ratio_20、ema_ratio_20、wma_ratio_20、rsi_6、rsi_14、stoch_k_14_3、stoch_d_14_3、willr_14、willr_28、cci_14、cci_20、keltner_pos_20_10、donchian_pos_10、donchian_pos_20、vwap_ratio_20
63,8,ema_ratio_5,趨勢,0.909171022121261,2.928227702257628,wma_ratio_5,3.726237174129477,6,sma_ratio_5、wma_ratio_5、wma_ratio_10、linreg_slope_5、roc_5、donchian_pos_5、vwap_ratio_5
32,8,ev_vol_x_avg20,事件,0.9182821760452582,1.8291688353566196,turnover_z_20,2.2050255079001744,1,vol_sma_ratio_10、vol_sma_ratio_20、vol_z_20、turnover_z_20、ev_vol_vs_max20、cs_rank_vol_z_20、cs_rank_turnover_z_20
89,6,cumret_ex1_60,統計,0.8889600667161623,2.4126012012543208,ema_ratio_120,2.8908040298829345,5,sma_ratio_120、ema_ratio_120、sma_cross_20_120、linreg_slope_60、roc_60
31,6,turnover_z_60,成交量,0.9162469249384312,0.0472977441026994,ev_vol_pctile250,1.5971877307775773,0,vol_sma_ratio_60、vol_sma_ratio_120、vol_z_60、ev_vol_pctile250、ev_amt_pctile250
70,6,cmo_14,動能,0.8814356741201756,-0.2503851482840341,sma_cross_5_20,0.9578128152209472,0,sma_cross_5_20、linreg_slope_20、vortex_pos_14、vortex_neg_14、mfi_14
54,5,cumret_ex1_120,統計,0.8861430264914736,2.801445420689809,cumret_ex1_120,2.801445420689809,2,linreg_slope_120、roc_120、cs_rank_roc_120、cs_excess_roc_120
42,4,ret_z_20,統計,0.9259849314112453,3.684212790153095,ret_lag_1,4.800851695368875,4,ret_lag_1、ret_z_60、ev_streak
83,4,cumret_ex1_20,統計,0.9051941748289426,1.8028995620704824,cumret_ex1_20,1.8028995620704824,0,roc_20、mom_accel_5_20、pvt_roc_20
84,4,cs_rank_excess_roc_20,橫斷面,0.9265996568026917,-0.9373807847234148,cs_excess_roc_20,-0.4231071706160211,0,cs_rank_roc_20、cs_rank_rsi_14、cs_excess_roc_20
72,3,pvt_roc_10,成交量,0.8949277983685664,0.4040141661930244,roc_10,2.7177132822018306,1,roc_10、force_13
60,3,ad_roc_20,成交量,0.9548302150653774,-0.3775221228336472,close_pos_ma20,0.3112143870022786,0,cmf_20、close_pos_ma20
41,2,body_range,K 棒,0.8287685999386931,3.6586170308964734,close_pos,3.718205662583914,2,close_pos
71,2,linreg_slope_10,趨勢,0.832503578362044,2.1180627084213643,linreg_slope_10,2.1180627084213643,1,macd_hist_12_26_9
16,2,ev_spike_ret,事件,0.8159220974723573,1.8523972976665943,ev_spike_up,2.3472363943772567,1,ev_spike_up
64,2,stochrsi_14,動能,0.864943295097625,1.7933094987173126,stochrsi_14,1.7933094987173126,0,macd_hist_5_35_5
62,2,cs_excess_roc_5,橫斷面,0.972430476297552,1.5728681645972082,cs_excess_roc_5,1.5728681645972082,0,cs_rank_roc_5
59,2,ad_roc_10,成交量,0.8447701575012632,1.4911819826999984,ad_roc_10,1.4911819826999984,0,uo_7_14_28
107,2,ret_std_5,波動,0.857619003072335,1.4057569919190376,ret_std_5,1.4057569919190376,0,ret_std_10
79,2,dist_low_60,波動,0.844805616358959,1.30167140606396,dist_low_60,1.30167140606396,0,dist_low_120
43,2,ev_new_high_60,事件,0.8000264550930769,1.276681046650984,ev_new_high_60,1.276681046650984,0,ev_new_high_250
105,2,dist_high_60,波動,0.8882214314501167,1.1318022800986232,dist_high_120,1.3340043841580933,0,dist_high_120
102,2,ev_limit_up_cnt20,事件,0.9981167242888149,0.6348743626180269,ev_limit_up_cnt20,0.6348743626180269,0,ev_days_since_limit_up
85,2,cs_excess_roc_60,橫斷面,0.9676996265980926,0.3370714450594802,cs_rank_roc_60,0.4799737196906001,0,cs_rank_roc_60
103,2,ulcer_14,波動,0.934760846198075,0.254501954494692,mdd_20,0.6826504557759229,0,mdd_20
58,2,body_range_ma5,K 棒,0.809618868339189,0.2494014902764695,close_pos_ma5,0.55314288349058,0,close_pos_ma5
81,2,aroon_osc_25,趨勢,0.8605844328955781,0.238493639582882,aroon_osc_25,0.238493639582882,0,aroon_up_25
