,nan_ratio,mean,std,kept
sma_ratio_5,0.003316189452675213,0.001351413,0.021970857,True
ema_ratio_5,0.0,0.0011416432,0.018009294,True
wma_ratio_5,0.003316189452675213,0.0008451586,0.016072119,True
sma_ratio_10,0.00746142626851923,0.003175421,0.03428155,True
ema_ratio_10,0.0,0.0026370864,0.028893288,True
wma_ratio_10,0.00746142626851923,0.0020204866,0.025750646,True
sma_ratio_20,0.015740385353496585,0.0068314476,0.051231664,True
ema_ratio_20,0.0,0.0055941567,0.043294024,True
wma_ratio_20,0.015740385353496585,0.004349486,0.038840022,True
sma_ratio_60,0.04874875259077301,0.019014368,0.09236015,True
ema_ratio_60,0.0,0.016753126,0.07748074,True
wma_ratio_60,0.04874875259077301,0.012093169,0.07021853,True
sma_ratio_120,0.09826130344668765,0.039006542,0.13503288,True
ema_ratio_120,0.0,0.03213701,0.11061727,True
wma_ratio_120,0.09826130344668765,0.025283294,0.10183787,True
sma_cross_5_20,0.015740385353496585,0.0051635783,0.039967954,True
sma_cross_10_60,0.04874875259077301,0.015441822,0.07678069,True
sma_cross_20_120,0.09826130344668765,0.031039534,0.10933507,True
macd_diff_12_26_9,0.0,0.0026424744,0.023005344,True
macd_signal_12_26_9,0.0,0.0026103698,0.021418817,True
macd_hist_12_26_9,0.0,3.2104304e-05,0.0070116064,True
macd_diff_5_35_5,0.0,0.005650999,0.04817182,True
macd_signal_5_35_5,0.0,0.0056109545,0.04636065,True
macd_hist_5_35_5,0.0,4.0044037e-05,0.009988954,True
adx_14,0.0009902510171182928,27.132889,13.138814,True
pdi_14,0.0,24.629728,8.795447,True
mdi_14,0.0,20.948769,8.430896,True
adx_28,0.0009902510171182928,21.582323,13.474001,True
pdi_28,0.0,24.393429,6.8967395,True
mdi_28,0.0,20.838125,6.641182,True
aroon_up_14,0.011606663084363245,50.385914,36.394497,True
aroon_dn_14,0.011606663084363245,41.58496,35.796864,True
aroon_osc_14,0.011606663084363245,8.800951,62.68357,True
aroon_up_25,0.020691640439088048,51.592537,35.65288,True
aroon_dn_25,0.020691640439088048,40.28034,34.825336,True
aroon_osc_25,0.020691640439088048,11.312198,61.389214,True
linreg_slope_5,0.003316189452675213,0.000422549,0.010287319,True
linreg_slope_10,0.00746142626851923,0.00042586654,0.0072419574,True
linreg_slope_20,0.015740385353496585,0.00043424816,0.005077567,True
linreg_slope_60,0.04874875259077301,0.00036753484,0.0027871688,True
linreg_slope_120,0.09826130344668765,0.00036332448,0.0018848144,True
trix_15,0.0008290473631688033,0.05864167,0.32163942,True
vortex_pos_14,0.011606663084363245,0.97551477,0.1647494,True
vortex_neg_14,0.011606663084363245,0.92760766,0.1721929,True
psar_dist,0.0008290473631688033,0.0003533312,0.06841313,True
roc_5,0.0041452368158440165,0.0041738846,0.04570947,True
roc_10,0.008290473631688033,0.008525157,0.06563483,True
roc_20,0.016565594534428494,0.017337626,0.096149035,True
roc_60,0.04957396177170492,0.04850484,0.18271205,True
roc_120,0.09908651262761956,0.098816045,0.2881501,True
rsi_6,0.001320334689491057,52.213768,18.314474,True
rsi_14,0.001320334689491057,52.1406,12.726319,True
rsi_28,0.001320334689491057,51.88315,10.130412,True
stoch_k_14_3,0.012435710447532049,51.880646,27.49723,True
stoch_d_14_3,0.014089966991632763,51.88854,26.69833,True
stoch_k_60_3,0.05039917095263683,54.836826,28.171057,True
stoch_d_60_3,0.052049589314500655,54.824806,27.961185,True
stochrsi_14,0.0120979504106855,0.49997246,0.35906065,True
willr_14,0.010777615721194442,-48.131985,29.63938,True
willr_28,0.02234205880095187,-46.72007,29.236942,True
cci_14,0.010777615721194442,12.947249,110.50391,True
cci_20,0.015740385353496585,15.900421,113.96149,True
cci_60,0.04874875259077301,25.03531,118.21542,True
cmo_14,0.011606663084363245,5.072607,34.09052,True
ppo_12_26,0.0,0.36344233,2.286492,True
tsi_25_13,0.0009250019190911185,4.2078238,22.91773,True
uo_7_14_28,0.0224303369924004,48.26627,11.643592,True
ao_5_34,0.02729331388654333,0.005996452,0.05915473,True
ret_lag_1,0.0008290473631688033,0.0008189863,0.020026233,True
ret_lag_2,0.0016580947263376065,0.0008119904,0.020029027,True
ret_lag_3,0.0024871420895064096,0.00081342144,0.020031888,True
ret_lag_4,0.003316189452675213,0.00080519397,0.020027539,True
ret_lag_5,0.0041452368158440165,0.0008018717,0.020028727,True
ret_lag_6,0.004974284179012819,0.0007988446,0.020033026,True
ret_lag_7,0.005803331542181623,0.0007936241,0.020034015,True
ret_lag_8,0.006632378905350426,0.0008088701,0.02002836,True
ret_lag_9,0.00746142626851923,0.000804765,0.020025106,True
ret_lag_10,0.008290473631688033,0.0008051561,0.020025564,True
up_ratio_5,0.003316189452675213,0.45943254,0.2185072,True
up_ratio_10,0.00746142626851923,0.4595775,0.15618286,True
up_ratio_20,0.015740385353496585,0.45978034,0.11396493,True
up_ratio_60,0.04874875259077301,0.45815593,0.07085741,True
up_ratio_120,0.09826130344668765,0.4580916,0.054679964,True
mom_accel_5_20,0.016565594534428494,-0.013046009,0.08338317,True
atr_ratio_14,0.0,0.023811845,0.013849671,True
atr_ratio_28,0.0,0.02378079,0.0138720535,True
ret_std_5,0.0041452368158440165,0.015666509,0.012314409,True
parkinson_5,0.003316189452675213,0.014139416,0.008689612,True
gk_vol_5,0.003316189452675213,0.013921655,0.008352236,True
ret_std_10,0.008290473631688033,0.01646704,0.011261201,True
parkinson_10,0.00746142626851923,0.014383483,0.008225324,True
gk_vol_10,0.00746142626851923,0.01413493,0.007927943,True
ret_std_20,0.016565594534428494,0.016980287,0.0104586575,True
parkinson_20,0.015740385353496585,0.014561795,0.007814941,True
gk_vol_20,0.015740385353496585,0.01429002,0.0075537497,True
ret_std_60,0.04957396177170492,0.017524635,0.009530131,True
parkinson_60,0.04874875259077301,0.014775317,0.0073037,True
gk_vol_60,0.04874875259077301,0.014478505,0.0070746313,True
ret_std_120,0.09908651262761956,0.01780298,0.009032425,True
parkinson_120,0.09826130344668765,0.01486704,0.0069967504,True
