index,model,wavelet,quarter,year,n,MAPE,R,TheilU,ret_pct,dir_acc,epochs
nifty50,WSAEs-LSTM,full,1,1,63,0.14314453842736033,0.7594920859584009,0.07750034197009854,-1.4668983257454633,0.5238095238095238,326
nifty50,WLSTM,full,1,1,63,0.03519670286401295,0.8641690702621558,0.018786261102025702,-1.4668983257454633,0.5238095238095238,323
nifty50,LSTM,none,1,1,63,0.0364258379531471,0.8690050702056681,0.0193459982771052,-1.4668983257454633,0.5238095238095238,323
nifty50,RNN,none,1,1,63,0.02730016699612473,0.8276619999596823,0.015117125322010764,-1.4668983257454633,0.5238095238095238,476
nifty50,naive,none,1,1,63,0.008742230339883183,0.8723849407296393,0.0053594340289216825,-1.4668983257454633,0.5238095238095238,0
nifty50,WSAEs-LSTM,full,2,1,61,0.026829917477052278,0.5722894952793789,0.016979243715645558,22.129346351193494,0.6065573770491803,471
nifty50,WLSTM,full,2,1,61,0.01200188988853458,0.9115737410980973,0.007367744820940092,34.095529070881874,0.6885245901639344,300
nifty50,LSTM,none,2,1,61,0.011230922213604085,0.9174433213019829,0.00734332350582264,16.661312211255794,0.5901639344262295,339
nifty50,RNN,none,2,1,61,0.014765622442041241,0.9127570400693653,0.009048339074368514,-0.48385023399056815,0.5573770491803278,600
nifty50,naive,none,2,1,61,0.010975513408638745,0.9331327087276784,0.0067446497751828954,3.4237903089392017,0.4918032786885246,0
nifty50,WSAEs-LSTM,full,3,1,61,0.03354932121333256,-0.394998168383906,0.018637528763915705,5.968400764962578,0.5573770491803278,92
nifty50,WLSTM,full,3,1,61,0.015527554801076383,0.8169048889331363,0.009692552261526925,15.185627467389784,0.639344262295082,90
nifty50,LSTM,none,3,1,61,0.016293057802678926,0.8083723032155394,0.00999625411590839,16.000174862448237,0.6721311475409836,90
nifty50,RNN,none,3,1,61,0.027549049870307714,0.6737558482936018,0.015107090048394577,-1.907538760455026,0.5245901639344263,90
nifty50,naive,none,3,1,61,0.008200919100949909,0.9500659703948021,0.005196981815938703,2.1232133045669137,0.5573770491803278,0
nifty50,WSAEs-LSTM,full,4,1,62,0.08348618047245222,-0.331047699211899,0.045659138995937903,-7.240255541183959,0.43548387096774194,90
nifty50,WLSTM,full,4,1,62,0.018659722245937264,0.962718515679892,0.011535594667103114,12.231886317732641,0.5161290322580645,284
nifty50,LSTM,none,4,1,62,0.017357526863732056,0.9654751818999455,0.010439020275640086,-11.386601416824579,0.41935483870967744,443
nifty50,RNN,none,4,1,62,0.013608755014329243,0.9659294134365919,0.008289769642199787,6.321158698211954,0.532258064516129,485
nifty50,naive,none,4,1,62,0.01163863064526481,0.970122421652932,0.006897966187823375,11.443387107625876,0.6129032258064516,0
